Round  273, temp = 20.000000, fitness =  56
Round  274, temp = 20.000000, fitness =  56
Round  275, temp = 20.000000, fitness =  56
Round  276, temp = 20.000000, fitness =  56
Round  277, temp = 20.000000, fitness =  56
Round  278, temp = 20.000000, fitness =  56
Round  279, temp = 20.000000, fitness =  56
Round  280, temp = 20.000000, fitness =  56
Round  281, temp = 20.000000, fitness =  56
Round  282, temp = 20.000000, fitness =  56
Round  283, temp = 20.000000, fitness =  56
Round  284, temp = 20.000000, fitness =  56
Round  285, temp = 20.000000, fitness =  56
Round  286, temp = 20.000000, fitness =  56
Round  287, temp = 20.000000, fitness =  56
Round  288, temp = 20.000000, fitness =  56
Round  289, temp = 20.000000, fitness =  56
Round  290, temp = 20.000000, fitness =  56
Round  291, temp = 20.000000, fitness =  56
Round  292, temp = 20.000000, fitness =  56
Round  293, temp = 20.000000, fitness =  56
Round  294, temp = 20.000000, fitness =  56
Round  295, temp = 20.000000, fitness =  56
Round  296, temp = 20.000000, fitness =  56
Round  297, temp = 20.000000, fitness =  56
Round  298, temp = 20.000000, fitness =  56
Round  299, temp = 20.000000, fitness =  56
Round  300, temp = 20.000000, fitness =  56
Round  301, temp = 20.000000, fitness =  56
Round  302, temp = 20.000000, fitness =  56
Round  303, temp = 20.000000, fitness =  56
Round  304, temp = 20.000000, fitness =  56
Round  305, temp = 20.000000, fitness =  56
Round  306, temp = 20.000000, fitness =  56
Round  307, temp = 20.000000, fitness =  56
Round  308, temp = 20.000000, fitness =  56
Round  309, temp = 20.000000, fitness =  56
Round  310, temp = 20.000000, fitness =  56
Round  311, temp = 20.000000, fitness =  56
Round  312, temp = 20.000000, fitness =  56
Round  313, temp = 20.000000, fitness =  56
Round  314, temp = 20.000000, fitness =  56
Round  315, temp = 20.000000, fitness =  56
Round  316, temp = 20.000000, fitness =  56
Round  317, temp = 20.000000, fitness =  56
Round  318, temp = 20.000000, fitness =  56
Round  319, temp = 20.000000, fitness =  56
Round  320, temp = 20.000000, fitness =  56
Round  321, temp = 20.000000, fitness =  56
Round  322, temp = 20.000000, fitness =  56
Round  323, temp = 20.000000, fitness =  56
Round  324, temp = 20.000000, fitness =  56
Round  325, temp = 20.000000, fitness =  56
Round  326, temp = 20.000000, fitness =  56
Round  327, temp = 20.000000, fitness =  56
Round  328, temp = 20.000000, fitness =  56
Round  329, temp = 20.000000, fitness =  56
Round  330, temp = 20.000000, fitness =  56
Round  331, temp = 20.000000, fitness =  56
Round  332, temp = 20.000000, fitness =  56
Round  333, temp = 20.000000, fitness =  56
Round  334, temp = 20.000000, fitness =  56
Round  335, temp = 20.000000, fitness =  56
Round  336, temp = 20.000000, fitness =  56
Round  337, temp = 20.000000, fitness =  56
Round  338, temp = 20.000000, fitness =  56
Round  339, temp = 20.000000, fitness =  56
Round  340, temp = 20.000000, fitness =  56
Round  341, temp = 20.000000, fitness =  56
Round  342, temp = 20.000000, fitness =  56
Round  343, temp = 20.000000, fitness =  56
Round  344, temp = 20.000000, fitness =  56
Round  345, temp = 20.000000, fitness =  56
Round  346, temp = 20.000000, fitness =  56
Round  347, temp = 20.000000, fitness =  56
Round  348, temp = 20.000000, fitness =  56
Round  349, temp = 20.000000, fitness =  56
Round  350, temp = 20.000000, fitness =  56
Round  351, temp = 20.000000, fitness =  56
Round  352, temp = 20.000000, fitness =  56
Round  353, temp = 20.000000, fitness =  56
Round  354, temp = 20.000000, fitness =  56
Round  355, temp = 20.000000, fitness =  56
Round  356, temp = 20.000000, fitness =  56
Round  357, temp = 20.000000, fitness =  56
Round  358, temp = 20.000000, fitness =  56
Round  359, temp = 20.000000, fitness =  56
Round  360, temp = 20.000000, fitness =  56
Round  361, temp = 20.000000, fitness =  56
Round  362, temp = 20.000000, fitness =  56
Round  363, temp = 20.000000, fitness =  56
Round  364, temp = 20.000000, fitness =  56
Round  365, temp = 20.000000, fitness =  56
Round  366, temp = 20.000000, fitness =  56
Round  367, temp = 20.000000, fitness =  56
Round  368, temp = 20.000000, fitness =  56
Round  369, temp = 20.000000, fitness =  56
Round  370, temp = 20.000000, fitness =  56
Round  371, temp = 20.000000, fitness =  56
Round  372, temp = 20.000000, fitness =  56
Round  373, temp = 20.000000, fitness =  56
Round  374, temp = 20.000000, fitness =  56
Round  375, temp = 20.000000, fitness =  56
Round  376, temp = 20.000000, fitness =  56
Round  377, temp = 20.000000, fitness =  56
Round  378, temp = 20.000000, fitness =  56
Round  379, temp = 20.000000, fitness =  56
Round  380, temp = 20.000000, fitness =  56
Round  381, temp = 20.000000, fitness =  56
Round  382, temp = 20.000000, fitness =  56
Round  383, temp = 20.000000, fitness =  56
Round  384, temp = 20.000000, fitness =  56
Round  385, temp = 20.000000, fitness =  56
Round  386, temp = 20.000000, fitness =  56
Round  387, temp = 20.000000, fitness =  56
Round  388, temp = 20.000000, fitness =  56
Round  389, temp = 20.000000, fitness =  56
Round  390, temp = 20.000000, fitness =  56
Round  391, temp = 20.000000, fitness =  56
Round  392, temp = 20.000000, fitness =  56
Round  393, temp = 20.000000, fitness =  56
Round  394, temp = 20.000000, fitness =  56
Round  395, temp = 20.000000, fitness =  56
Round  396, temp = 20.000000, fitness =  56
Round  397, temp = 20.000000, fitness =  56
Round  398, temp = 20.000000, fitness =  56
Round  399, temp = 20.000000, fitness =  56
Round  400, temp = 20.000000, fitness =  56
Round  401, temp = 20.000000, fitness =  56
Round  402, temp = 20.000000, fitness =  56
Round  403, temp = 20.000000, fitness =  56
Round  404, temp = 20.000000, fitness =  56
Round  405, temp = 20.000000, fitness =  56
Round  406, temp = 20.000000, fitness =  56
Round  407, temp = 20.000000, fitness =  56
Round  408, temp = 20.000000, fitness =  56
Round  409, temp = 20.000000, fitness =  56
Round  410, temp = 20.000000, fitness =  56
Round  411, temp = 20.000000, fitness =  56
Round  412, temp = 20.000000, fitness =  56
Round  413, temp = 20.000000, fitness =  56
Round  414, temp = 20.000000, fitness =  56
Round  415, temp = 20.000000, fitness =  56
Round  416, temp = 20.000000, fitness =  56
Round  417, temp = 20.000000, fitness =  56
Round  418, temp = 20.000000, fitness =  56
Round  419, temp = 20.000000, fitness =  56
Round  420, temp = 20.000000, fitness =  56
Round  421, temp = 20.000000, fitness =  56
Round  422, temp = 20.000000, fitness =  56
Round  423, temp = 20.000000, fitness =  56
Round  424, temp = 20.000000, fitness =  56
Round  425, temp = 20.000000, fitness =  56
Round  426, temp = 20.000000, fitness =  56
Round  427, temp = 20.000000, fitness =  56
Round  428, temp = 20.000000, fitness =  56
Round  429, temp = 20.000000, fitness =  56
Round  430, temp = 20.000000, fitness =  56
Round  431, temp = 20.000000, fitness =  56
Round  432, temp = 20.000000, fitness =  56
Round  433, temp = 20.000000, fitness =  56
Round  434, temp = 20.000000, fitness =  56
Round  435, temp = 20.000000, fitness =  56
Round  436, temp = 20.000000, fitness =  56
Round  437, temp = 20.000000, fitness =  56
Round  438, temp = 20.000000, fitness =  56
Round  439, temp = 20.000000, fitness =  56
Round  440, temp = 20.000000, fitness =  56
Round  441, temp = 20.000000, fitness =  56
Round  442, temp = 20.000000, fitness =  56
Round  443, temp = 20.000000, fitness =  56
Round  444, temp = 20.000000, fitness =  56
Round  445, temp = 20.000000, fitness =  56
Round  446, temp = 20.000000, fitness =  56
Round  447, temp = 20.000000, fitness =  56
Round  448, temp = 20.000000, fitness =  56
Round  449, temp = 20.000000, fitness =  56
Round  450, temp = 20.000000, fitness =  56
Round  451, temp = 20.000000, fitness =  56
Round  452, temp = 20.000000, fitness =  56
Round  453, temp = 20.000000, fitness =  56
Round  454, temp = 20.000000, fitness =  56
Round  455, temp = 20.000000, fitness =  56
Round  456, temp = 20.000000, fitness =  56
Round  457, temp = 20.000000, fitness =  56
Round  458, temp = 20.000000, fitness =  56
Round  459, temp = 20.000000, fitness =  56
Round  460, temp = 20.000000, fitness =  56
Round  461, temp = 20.000000, fitness =  56
Round  462, temp = 20.000000, fitness =  56
Round  463, temp = 20.000000, fitness =  56
Round  464, temp = 20.000000, fitness =  56
Round  465, temp = 20.000000, fitness =  56
Round  466, temp = 20.000000, fitness =  56
Round  467, temp = 20.000000, fitness =  56
Round  468, temp = 20.000000, fitness =  56
Round  469, temp = 20.000000, fitness =  56
Round  470, temp = 20.000000, fitness =  56
Round  471, temp = 20.000000, fitness =  56
Round  472, temp = 20.000000, fitness =  56
Round  473, temp = 20.000000, fitness =  56
Round  474, temp = 20.000000, fitness =  56
Round  475, temp = 20.000000, fitness =  56
Round  476, temp = 20.000000, fitness =  56
Round  477, temp = 20.000000, fitness =  56
Round  478, temp = 20.000000, fitness =  56
Round  479, temp = 20.000000, fitness =  56
Round  480, temp = 20.000000, fitness =  56
Round  481, temp = 20.000000, fitness =  56
Round  482, temp = 20.000000, fitness =  56
Round  483, temp = 20.000000, fitness =  56
Round  484, temp = 20.000000, fitness =  56
Round  485, temp = 20.000000, fitness =  56
Round  486, temp = 20.000000, fitness =  56
Round  487, temp = 20.000000, fitness =  56
Round  488, temp = 20.000000, fitness =  56
Round  489, temp = 20.000000, fitness =  56
Round  490, temp = 20.000000, fitness =  56
Round  491, temp = 20.000000, fitness =  56
Round  492, temp = 20.000000, fitness =  56
Round  493, temp = 20.000000, fitness =  56
Round  494, temp = 20.000000, fitness =  56
Round  495, temp = 20.000000, fitness =  56
Round  496, temp = 20.000000, fitness =  56
Round  497, temp = 20.000000, fitness =  56
Round  498, temp = 20.000000, fitness =  56
Round  499, temp = 20.000000, fitness =  56
Round  500, temp = 20.000000, fitness =  56
Round  501, temp = 20.000000, fitness =  56
Round  502, temp = 20.000000, fitness =  56
Round  503, temp = 20.000000, fitness =  56
Round  504, temp = 20.000000, fitness =  56
Round  505, temp = 20.000000, fitness =  56
Round  506, temp = 20.000000, fitness =  56
Round  507, temp = 20.000000, fitness =  56
Round  508, temp = 20.000000, fitness =  56
Round  509, temp = 20.000000, fitness =  56
